Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,away_shots,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
28/07/01,Aberdeen,Rangers,0,3,A,0,0,D,6,7,1,4,2,6,18,16,1,2,0,0
28/07/01,Celtic,St Johnstone,3,0,H,1,0,H,11,7,9,4,9,4,5,15,0,2,0,0
28/07/01,Dundee United,Dundee,2,2,D,1,1,D,14,6,2,4,7,2,18,13,0,0,0,0
28/07/01,Dunfermline,Motherwell,5,2,H,1,1,D,8,8,6,3,2,5,13,13,1,1,0,0
28/07/01,Hibernian,Kilmarnock,2,2,D,1,2,A,12,6,5,3,5,0,14,16,1,5,0,0
28/07/01,Livingston,Hearts,2,1,H,1,0,H,8,6,4,3,2,9,12,7,2,2,0,0
04/08/01,Dundee,Hibernian,2,1,H,1,0,H,10,7,6,2,3,8,6,11,3,2,0,0
04/08/01,Hearts,Aberdeen,1,0,H,1,0,H,8,4,1,2,4,10,9,9,0,1,0,0
04/08/01,Kilmarnock,Celtic,0,1,A,0,0,D,6,10,3,4,3,5,14,12,2,3,0,0
04/08/01,Motherwell,Dundee United,0,0,D,0,0,D,7,11,2,6,3,4,16,13,2,2,0,0
04/08/01,Rangers,Livingston,0,0,D,0,0,D,5,6,2,1,6,2,16,12,2,1,0,0
04/08/01,St Johnstone,Dunfermline,0,2,A,0,1,A,8,7,4,4,8,1,12,13,0,1,0,0
11/08/01,Celtic,Hearts,2,0,H,1,0,H,12,6,4,1,7,2,7,11,0,0,0,0
11/08/01,Dundee,Livingston,1,0,H,1,0,H,9,15,5,7,6,7,16,14,2,1,0,0
11/08/01,Dunfermline,Rangers,1,4,A,0,2,A,7,18,2,14,2,11,18,13,1,1,1,0
11/08/01,Hibernian,Aberdeen,2,0,H,2,0,H,14,4,6,1,8,5,15,18,2,3,0,0
11/08/01,St Johnstone,Dundee United,0,1,A,0,1,A,14,11,4,7,10,1,16,14,2,3,0,0
12/08/01,Motherwell,Kilmarnock,2,2,D,1,1,D,6,11,3,8,4,2,20,17,5,2,0,1
18/08/01,Aberdeen,Motherwell,4,2,H,2,2,D,11,7,9,5,12,4,15,17,2,4,0,0
18/08/01,Dundee United,Dunfermline,3,2,H,2,0,H,11,8,8,4,0,6,17,20,2,4,0,0
18/08/01,Hearts,Dundee,3,1,H,3,0,H,12,13,6,2,0,10,15,16,0,3,0,0
18/08/01,Kilmarnock,St Johnstone,2,1,H,2,0,H,8,12,3,6,5,6,19,13,3,3,0,0
18/08/01,Livingston,Celtic,0,0,D,0,0,D,6,3,1,2,0,3,14,7,3,0,1,0
18/08/01,Rangers,Hibernian,2,2,D,1,1,D,10,7,9,4,9,5,12,14,1,5,0,0
25/08/01,Dunfermline,Hearts,0,1,A,0,0,D,9,11,3,4,5,6,17,11,3,1,0,0
25/08/01,Hibernian,Celtic,1,4,A,0,4,A,13,9,7,5,4,9,17,17,2,2,0,0
25/08/01,Motherwell,Livingston,0,0,D,0,0,D,9,15,2,5,5,10,17,25,1,0,0,0
25/08/01,St Johnstone,Aberdeen,1,1,D,0,1,A,4,14,4,4,4,5,20,26,3,4,0,0
26/08/01,Dundee United,Kilmarnock,0,2,A,0,1,A,9,6,6,3,7,4,13,17,2,2,0,0
26/08/01,Rangers,Dundee,2,0,H,1,0,H,15,14,5,4,5,2,19,11,0,2,1,1
08/09/01,Aberdeen,Kilmarnock,2,0,H,0,0,D,8,7,3,2,5,3,17,14,1,1,0,0
08/09/01,Celtic,Dunfermline,3,1,H,2,0,H,12,8,7,5,7,5,10,11,1,2,0,0
08/09/01,Dundee,St Johnstone,1,1,D,1,0,H,13,9,5,6,5,7,11,12,0,1,0,0
08/09/01,Hearts,Rangers,2,2,D,1,1,D,10,14,6,7,7,4,13,12,2,1,0,0
08/09/01,Livingston,Dundee United,2,0,H,0,0,D,11,10,7,4,7,5,18,17,0,3,0,0
08/09/01,Motherwell,Hibernian,1,3,A,1,1,D,12,16,4,9,2,6,20,20,2,3,0,0
15/09/01,Aberdeen,Dundee United,2,1,H,0,0,D,17,12,5,6,7,3,11,14,0,1,0,2
15/09/01,Dundee,Celtic,0,4,A,0,1,A,8,13,3,7,7,5,20,18,3,2,1,0
15/09/01,St Johnstone,Livingston,2,2,D,1,2,A,8,6,6,5,1,4,11,17,2,2,0,1
16/09/01,Hibernian,Dunfermline,5,1,H,3,1,H,18,4,12,3,10,4,9,10,1,3,0,1
16/09/01,Kilmarnock,Hearts,1,0,H,0,0,D,9,3,6,3,9,5,16,11,1,1,0,0
16/09/01,Rangers,Motherwell,3,0,H,1,0,H,21,4,12,3,5,2,7,22,1,7,0,0
22/09/01,Celtic,Aberdeen,2,0,H,0,0,D,18,3,8,0,6,0,10,18,0,4,0,0
22/09/01,Dundee United,Rangers,1,6,A,1,1,D,8,18,3,8,1,10,13,12,0,0,0,0
22/09/01,Dunfermline,Livingston,1,2,A,1,0,H,18,10,9,5,4,5,13,16,2,2,0,0
22/09/01,Motherwell,Hearts,2,0,H,1,0,H,10,7,5,2,3,3,17,16,3,2,0,0
23/09/01,Hibernian,St Johnstone,4,0,H,1,0,H,14,5,8,3,5,2,13,19,1,3,0,0
23/09/01,Kilmarnock,Dundee,0,1,A,0,1,A,4,3,1,1,6,0,17,13,3,2,0,0
29/09/01,Dundee,Aberdeen,1,4,A,1,1,D,10,8,7,6,8,7,5,19,3,5,0,0
29/09/01,Hearts,Dundee United,1,2,A,0,0,D,11,11,4,5,6,5,10,22,1,2,0,0
29/09/01,St Johnstone,Motherwell,2,3,A,1,1,D,9,6,6,4,6,5,13,11,2,0,0,0
30/09/01,Dunfermline,Kilmarnock,0,2,A,0,1,A,6,9,1,4,6,3,14,13,2,1,0,0
30/09/01,Livingston,Hibernian,1,0,H,0,0,D,11,7,4,3,9,5,11,14,3,1,0,0
30/09/01,Rangers,Celtic,0,2,A,0,1,A,14,9,5,8,8,4,18,21,2,3,1,0
13/10/01,Dundee United,Hibernian,3,1,H,0,1,A,10,11,6,5,6,5,21,11,2,1,0,0
13/10/01,Dunfermline,Dundee,1,0,H,1,0,H,8,9,4,3,6,9,18,19,2,2,0,0
13/10/01,Hearts,St Johnstone,3,0,H,2,0,H,13,4,9,1,5,6,15,11,0,0,0,0
13/10/01,Livingston,Aberdeen,2,2,D,1,0,H,7,12,3,6,4,7,9,11,1,1,0,0
13/10/01,Motherwell,Celtic,1,2,A,0,1,A,11,20,5,8,8,7,18,19,3,2,0,0
13/10/01,Rangers,Kilmarnock,3,1,H,2,0,H,20,3,13,1,8,0,12,13,0,1,0,0
20/10/01,Aberdeen,Dunfermline,3,2,H,3,0,H,21,12,11,5,11,3,14,20,1,3,0,0
20/10/01,Celtic,Dundee United,5,1,H,2,0,H,12,4,7,2,10,4,10,7,0,0,0,0
20/10/01,Kilmarnock,Livingston,1,5,A,1,2,A,10,12,3,8,4,4,15,7,2,1,0,0
21/10/01,Hibernian,Hearts,2,1,H,2,0,H,14,5,6,1,4,4,27,21,2,2,0,0
21/10/01,St Johnstone,Rangers,0,2,A,0,1,A,8,11,4,6,1,10,13,15,2,4,0,0
27/10/01,Aberdeen,Hearts,3,2,H,2,1,H,17,11,8,8,10,5,20,21,2,4,1,2
27/10/01,Celtic,Kilmarnock,1,0,H,0,0,D,17,6,8,2,6,0,14,23,2,5,0,0
27/10/01,Dundee United,Motherwell,1,1,D,1,0,H,11,6,7,3,10,3,17,21,1,2,0,0
27/10/01,Dunfermline,St Johnstone,2,1,H,0,1,A,20,7,6,3,6,3,14,6,2,0,0,0
27/10/01,Hibernian,Dundee,1,2,A,1,1,D,17,6,7,2,5,4,13,12,2,3,1,0
27/10/01,Livingston,Rangers,0,2,A,0,1,A,7,17,3,10,5,3,11,13,2,1,1,0
30/10/01,Dundee,Motherwell,3,1,H,1,1,D,10,7,5,5,4,5,11,16,1,1,0,0
03/11/01,Dundee,Dundee United,1,1,D,1,1,D,10,8,3,5,11,1,15,17,4,3,1,0
03/11/01,Hearts,Livingston,1,3,A,0,2,A,11,15,7,8,10,5,18,11,2,0,0,0
03/11/01,Kilmarnock,Hibernian,0,0,D,0,0,D,8,5,3,4,3,11,13,15,0,4,0,0
03/11/01,Motherwell,Dunfermline,1,0,H,0,0,D,12,12,5,3,6,6,9,10,1,3,0,0
