Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
04/08/12,Celtic,Aberdeen,1,0,H,0,0,D,9,5,5,2,5,9,6,4,0,1,0,0
04/08/12,Hearts,St Johnstone,2,0,H,1,0,H,18,5,7,3,12,10,6,6,2,1,0,1
04/08/12,Kilmarnock,Dundee,0,0,D,0,0,D,16,4,8,1,9,16,6,1,0,2,0,0
04/08/12,Ross County,Motherwell,0,0,D,0,0,D,6,6,1,2,9,13,6,8,1,0,0,0
04/08/12,St Mirren,Inverness C,2,2,D,1,0,H,13,11,5,7,18,15,4,10,3,4,1,0
05/08/12,Dundee United,Hibernian,3,0,H,1,0,H,17,6,11,2,11,16,10,3,0,1,0,0
11/08/12,Aberdeen,Ross County,0,0,D,0,0,D,11,4,5,1,10,12,5,4,2,2,0,0
11/08/12,Dundee,St Mirren,0,2,A,0,1,A,7,4,1,4,6,6,8,5,0,2,0,0
11/08/12,Inverness C,Kilmarnock,1,1,D,1,1,D,11,12,7,5,11,8,4,6,1,1,1,0
11/08/12,Motherwell,St Johnstone,1,1,D,0,0,D,10,15,6,6,8,8,5,7,1,2,1,1
12/08/12,Hibernian,Hearts,1,1,D,1,1,D,10,10,6,3,15,21,3,9,3,3,0,0
18/08/12,Hearts,Inverness C,2,2,D,2,0,H,7,8,3,1,14,16,6,3,3,4,0,1
18/08/12,Kilmarnock,Motherwell,1,2,A,1,2,A,8,12,6,3,7,14,3,5,2,2,0,0
18/08/12,Ross County,Celtic,1,1,D,0,0,D,7,19,4,10,12,14,1,9,1,0,0,0
18/08/12,St Johnstone,Aberdeen,1,2,A,0,1,A,9,8,5,4,16,11,1,4,2,3,0,0
18/08/12,St Mirren,Hibernian,1,2,A,0,1,A,13,9,6,2,9,11,9,2,3,2,0,0
19/08/12,Dundee United,Dundee,3,0,H,3,0,H,11,6,8,4,8,7,6,3,2,2,1,1
25/08/12,Dundee,Ross County,0,1,A,0,0,D,10,6,3,3,15,5,3,4,2,1,0,0
25/08/12,Hibernian,St Johnstone,2,0,H,1,0,H,12,10,7,4,14,14,6,8,1,2,0,0
25/08/12,Inverness C,Celtic,2,4,A,0,2,A,11,15,9,6,12,6,3,9,3,0,0,0
25/08/12,Kilmarnock,Dundee United,3,1,H,0,0,D,8,7,6,2,14,12,10,2,2,1,0,0
26/08/12,Aberdeen,Hearts,0,0,D,0,0,D,7,3,2,1,14,19,9,1,1,4,0,0
26/08/12,Motherwell,St Mirren,1,1,D,1,0,H,5,17,2,8,19,10,2,11,2,3,1,0
01/09/12,Aberdeen,St Mirren,0,0,D,0,0,D,12,3,3,1,11,12,9,3,0,3,0,0
01/09/12,Celtic,Hibernian,2,2,D,1,0,H,14,4,6,2,7,13,11,1,0,0,0,0
01/09/12,Ross County,Kilmarnock,0,0,D,0,0,D,10,10,5,5,13,13,8,5,5,2,0,0
01/09/12,St Johnstone,Dundee United,0,0,D,0,0,D,7,6,2,2,9,10,6,6,0,2,0,0
02/09/12,Hearts,Dundee,0,1,A,0,1,A,8,3,3,2,14,15,9,1,2,3,0,0
02/09/12,Motherwell,Inverness C,4,1,H,2,1,H,11,14,6,9,16,11,10,10,1,1,0,0
14/09/12,Dundee United,Ross County,0,0,D,0,0,D,14,4,7,0,4,12,4,4,0,2,0,0
15/09/12,Dundee,Motherwell,1,2,A,1,0,H,8,10,4,7,8,7,4,10,0,2,0,0
15/09/12,Hibernian,Kilmarnock,2,1,H,2,1,H,11,11,6,3,19,12,3,10,1,2,0,0
15/09/12,Inverness C,Aberdeen,1,1,D,0,0,D,4,2,2,1,12,14,4,13,3,0,1,1
15/09/12,St Johnstone,Celtic,2,1,H,1,1,D,13,12,9,5,22,18,5,2,4,4,0,0
