Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,away_shots,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
09/08/14,Dundee,Kilmarnock,1,1,D,1,1,D,14,10,7,3,5,13,7,4,0,3,0,0
09/08/14,Hamilton,Inverness C,0,2,A,0,2,A,8,13,3,8,12,12,2,4,2,1,0,0
09/08/14,Motherwell,St Mirren,1,0,H,0,0,D,9,20,4,11,13,16,1,7,1,1,0,1
10/08/14,Aberdeen,Dundee United,0,3,A,0,2,A,13,12,0,5,13,14,9,3,0,2,0,0
10/08/14,Ross County,St Johnstone,1,2,A,0,1,A,9,11,5,5,11,18,4,8,2,0,0,0
13/08/14,Dundee United,Motherwell,1,0,H,0,0,D,10,3,4,0,16,12,10,8,1,2,0,0
13/08/14,Inverness C,Dundee,0,0,D,0,0,D,13,4,3,2,8,12,4,4,1,2,0,0
13/08/14,Kilmarnock,Aberdeen,0,2,A,0,1,A,12,8,4,4,8,8,3,5,0,0,0,0
13/08/14,Partick,Ross County,4,0,H,1,0,H,16,9,8,4,4,4,2,6,2,3,0,0
13/08/14,St Johnstone,Celtic,0,3,A,0,0,D,6,16,1,8,12,14,3,6,1,1,1,0
13/08/14,St Mirren,Hamilton,0,2,A,0,1,A,9,7,2,4,10,17,6,6,1,4,0,0
16/08/14,Celtic,Dundee United,6,1,H,3,0,H,29,7,14,3,8,10,10,1,0,3,0,0
16/08/14,Dundee,Partick,1,1,D,0,1,A,9,9,3,5,12,15,2,1,0,3,0,1
16/08/14,Hamilton,St Johnstone,1,0,H,1,0,H,10,4,7,1,9,12,5,3,2,2,0,0
16/08/14,Motherwell,Inverness C,0,2,A,0,1,A,5,17,0,4,15,11,5,6,2,0,0,0
16/08/14,Ross County,Kilmarnock,1,2,A,0,1,A,9,13,8,6,20,15,6,7,5,3,0,0
23/08/14,Dundee United,Ross County,2,1,H,1,0,H,18,11,9,3,13,16,8,2,2,2,0,0
23/08/14,Inverness C,Celtic,1,0,H,0,0,D,10,13,2,6,9,9,7,4,0,0,0,0
23/08/14,Kilmarnock,Motherwell,2,0,H,1,0,H,17,7,11,2,14,6,4,7,1,1,0,1
23/08/14,Partick,Hamilton,1,2,A,0,0,D,8,5,5,4,10,11,7,8,2,3,0,0
23/08/14,St Johnstone,Aberdeen,1,0,H,0,0,D,9,9,2,1,13,11,5,5,2,2,0,0
23/08/14,St Mirren,Dundee,0,1,A,0,0,D,18,10,5,5,17,14,12,4,1,2,0,0
30/08/14,Aberdeen,Partick,2,0,H,0,0,D,16,5,6,1,8,12,12,1,0,3,0,0
30/08/14,Hamilton,Ross County,4,0,H,0,0,D,17,3,11,3,18,10,17,2,3,2,0,1
30/08/14,Inverness C,Kilmarnock,2,0,H,0,0,D,11,7,4,1,13,12,5,4,2,1,0,0
30/08/14,Motherwell,St Johnstone,0,1,A,0,0,D,8,10,3,6,10,8,3,1,1,1,0,0
30/08/14,St Mirren,Dundee United,0,3,A,0,0,D,13,13,1,7,8,12,12,3,0,1,0,0
31/08/14,Dundee,Celtic,1,1,D,1,0,H,10,13,3,6,11,7,4,5,1,2,0,0
13/09/14,Celtic,Aberdeen,2,1,H,1,0,H,19,10,4,5,12,7,4,4,1,1,0,0
13/09/14,Dundee United,Hamilton,2,2,D,2,2,D,9,11,4,5,14,10,5,5,1,1,1,1
13/09/14,Kilmarnock,St Mirren,2,1,H,0,0,D,8,9,5,4,14,12,12,8,3,3,0,0
13/09/14,Partick,Inverness C,3,1,H,2,1,H,11,11,7,5,10,10,5,4,2,2,0,0
13/09/14,Ross County,Motherwell,1,2,A,0,0,D,20,9,7,7,9,13,6,6,0,2,0,0
13/09/14,St Johnstone,Dundee,0,1,A,0,1,A,6,9,0,3,9,11,2,7,2,0,0,0
19/09/14,Partick,St Mirren,1,2,A,1,0,H,8,12,1,7,16,8,3,5,3,3,0,0
20/09/14,Aberdeen,Ross County,3,0,H,2,0,H,13,10,10,3,11,13,7,8,2,3,0,0
20/09/14,Hamilton,Kilmarnock,0,0,D,0,0,D,8,6,5,3,9,12,4,2,3,3,0,0
20/09/14,Inverness C,St Johnstone,2,1,H,0,0,D,14,5,5,1,11,15,4,6,2,1,0,0
21/09/14,Celtic,Motherwell,1,1,D,0,1,A,27,4,10,1,2,11,8,0,0,1,0,0
21/09/14,Dundee,Dundee United,1,4,A,0,1,A,4,11,2,8,12,18,3,5,1,4,1,0
27/09/14,Aberdeen,Inverness C,3,2,H,2,1,H,10,9,7,4,16,16,8,2,2,2,0,0
27/09/14,Dundee United,St Johnstone,2,0,H,1,0,H,6,7,3,1,13,14,3,5,2,1,0,0
27/09/14,Kilmarnock,Partick,3,0,H,1,0,H,11,8,7,4,5,11,4,3,0,3,0,0
27/09/14,Motherwell,Hamilton,0,4,A,0,2,A,9,23,3,9,15,16,9,4,5,1,0,0
27/09/14,Ross County,Dundee,2,1,H,1,0,H,15,8,5,4,13,17,7,3,1,2,0,0
27/09/14,St Mirren,Celtic,1,2,A,0,1,A,6,11,2,2,11,12,5,6,2,1,0,0
30/09/14,Aberdeen,St Mirren,2,2,D,1,0,H,21,10,11,5,16,12,7,5,2,3,0,0
03/10/14,Kilmarnock,Dundee United,2,0,H,0,0,D,15,11,6,3,14,10,7,2,3,2,0,0
04/10/14,Dundee,Aberdeen,2,3,A,1,2,A,13,6,4,2,14,18,5,7,2,2,0,0
04/10/14,Partick,Motherwell,3,1,H,1,0,H,12,8,6,5,9,11,5,5,3,1,0,0
04/10/14,St Johnstone,St Mirren,1,2,A,0,1,A,5,7,1,2,11,12,5,3,0,3,0,0
05/10/14,Celtic,Hamilton,0,1,A,0,0,D,16,5,7,2,13,6,11,4,2,1,0,0
05/10/14,Inverness C,Ross County,1,1,D,0,1,A,19,14,10,6,8,16,8,4,1,2,0,0
17/10/14,Hamilton,Aberdeen,3,0,H,1,0,H,6,8,3,3,14,13,5,4,5,2,0,0
18/10/14,Dundee United,Partick,1,0,H,0,0,D,10,12,6,4,7,11,4,7,2,3,0,1
18/10/14,Motherwell,Dundee,1,3,A,0,2,A,12,10,10,7,8,10,10,4,1,2,0,0
18/10/14,Ross County,Celtic,0,5,A,0,4,A,5,12,0,6,13,9,2,10,0,0,0,0
18/10/14,St Johnstone,Kilmarnock,1,2,A,1,2,A,10,9,4,7,13,15,6,4,3,2,0,0
18/10/14,St Mirren,Inverness C,0,1,A,0,1,A,9,7,2,4,14,16,4,3,4,3,0,2
24/10/14,Aberdeen,Motherwell,1,0,H,1,0,H,13,4,3,1,4,13,2,6,0,2,0,0
25/10/14,Dundee,Hamilton,2,0,H,0,0,D,8,10,3,2,14,14,7,2,2,2,0,0
25/10/14,Inverness C,Dundee United,1,0,H,1,0,H,20,9,5,1,8,17,10,4,0,2,0,0
25/10/14,Partick,St Johnstone,0,0,D,0,0,D,12,9,4,3,11,13,7,4,2,2,0,0
25/10/14,St Mirren,Ross County,2,2,D,1,1,D,15,7,8,4,11,15,11,6,0,1,0,0
26/10/14,Celtic,Kilmarnock,2,0,H,1,0,H,20,3,10,0,14,8,6,3,1,1,0,1
31/10/14,St Johnstone,Motherwell,2,1,H,1,1,D,10,11,5,5,5,16,7,5,0,2,0,0
01/11/14,Celtic,Inverness C,1,0,H,0,0,D,14,10,3,4,11,9,7,8,2,2,0,0
01/11/14,Dundee United,St Mirren,3,0,H,1,0,H,11,14,6,7,9,11,5,7,1,4,0,0
01/11/14,Hamilton,Partick,3,3,D,2,1,H,12,7,8,4,12,17,3,6,1,3,0,0
01/11/14,Kilmarnock,Dundee,1,3,A,0,1,A,10,7,3,5,6,11,7,4,1,2,0,0
03/11/14,Ross County,Aberdeen,0,1,A,0,0,D,8,15,2,4,14,12,2,6,1,1,0,0
