Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST
02/08/13,Partick,Dundee United,0,0,D,0,0,D,10,10,3,6
03/08/13,Aberdeen,Kilmarnock,2,1,H,1,0,H,4,3,2,0
03/08/13,Celtic,Ross County,2,1,H,1,1,D,25,5,9,1
03/08/13,Inverness C,St Mirren,3,0,H,0,0,D,6,6,3,2
04/08/13,Hibernian,Motherwell,0,1,A,0,0,D,8,11,3,4
04/08/13,St Johnstone,Hearts,1,0,H,1,0,H,11,2,3,0
10/08/13,Dundee United,Inverness C,0,1,A,0,1,A,4,13,2,2
10/08/13,Ross County,Partick,1,3,A,0,1,A,13,13,3,10
11/08/13,Hearts,Hibernian,1,0,H,0,0,D,9,12,4,3
11/08/13,Kilmarnock,St Johnstone,0,0,D,0,0,D,8,7,5,2
11/08/13,Motherwell,Aberdeen,1,3,A,1,0,H,4,9,2,3
16/08/13,Partick,Hearts,1,1,D,0,0,D,15,11,5,4
17/08/13,Aberdeen,Celtic,0,2,A,0,1,A,3,11,2,4
17/08/13,Hibernian,Dundee United,1,1,D,0,1,A,8,10,4,2
17/08/13,Inverness C,Motherwell,2,0,H,2,0,H,13,13,4,3
17/08/13,St Johnstone,Ross County,4,0,H,2,0,H,17,2,6,0
17/08/13,St Mirren,Kilmarnock,1,1,D,0,0,D,12,7,5,3
24/08/13,Celtic,Inverness C,2,2,D,1,2,A,21,7,7,3
24/08/13,Dundee United,St Johnstone,4,0,H,3,0,H,10,4,6,1
24/08/13,Hearts,Aberdeen,2,1,H,1,0,H,10,11,4,3
24/08/13,Kilmarnock,Hibernian,1,2,A,1,0,H,8,4,3,4
24/08/13,Motherwell,Partick,1,0,H,1,0,H,16,9,5,4
24/08/13,Ross County,St Mirren,3,0,H,2,0,H,13,12,8,5
31/08/13,Aberdeen,St Johnstone,0,0,D,0,0,D,17,8,5,3
31/08/13,Dundee United,Celtic,0,1,A,0,0,D,3,10,2,2
31/08/13,Hibernian,Ross County,0,0,D,0,0,D,8,11,1,2
31/08/13,Inverness C,Hearts,2,0,H,2,0,H,19,3,7,0
31/08/13,Motherwell,Kilmarnock,2,1,H,2,1,H,12,11,7,4
31/08/13,St Mirren,Partick,1,2,A,0,0,D,10,17,3,6
14/09/13,Hearts,Celtic,1,3,A,0,1,A,6,10,3,4
14/09/13,Kilmarnock,Inverness C,1,2,A,0,1,A,7,7,4,3
14/09/13,Partick,Aberdeen,0,3,A,0,2,A,9,8,4,7
14/09/13,St Johnstone,Hibernian,1,2,A,1,1,D,4,12,1,4
14/09/13,St Mirren,Motherwell,0,1,A,0,1,A,7,8,1,2
15/09/13,Ross County,Dundee United,2,4,A,0,3,A,13,14,7,10
21/09/13,Aberdeen,Inverness C,1,0,H,0,0,D,10,5,3,4
21/09/13,Celtic,St Johnstone,2,1,H,2,0,H,6,4,2,2
21/09/13,Hibernian,St Mirren,2,0,H,1,0,H,12,2,6,0
21/09/13,Partick,Kilmarnock,1,1,D,1,0,H,10,7,8,3
21/09/13,Ross County,Hearts,2,1,H,0,1,A,12,8,5,5
22/09/13,Dundee United,Motherwell,2,2,D,0,1,A,12,12,4,3
28/09/13,Hearts,Dundee United,0,0,D,0,0,D,11,12,5,4
28/09/13,Inverness C,Hibernian,3,0,H,1,0,H,12,7,7,1
28/09/13,Kilmarnock,Celtic,2,5,A,2,3,A,8,11,4,5
28/09/13,Motherwell,Ross County,3,1,H,0,1,A,22,13,8,4
28/09/13,St Johnstone,Partick,1,1,D,1,1,D,14,11,8,6
30/09/13,St Mirren,Aberdeen,1,1,D,0,0,D,5,10,2,3
05/10/13,Celtic,Motherwell,2,0,H,1,0,H,14,3,5,1
05/10/13,Dundee United,Kilmarnock,1,0,H,0,0,D,15,10,8,4
05/10/13,Hearts,St Mirren,0,2,A,0,1,A,16,17,8,8
05/10/13,Ross County,Aberdeen,1,0,H,0,0,D,7,8,2,3
05/10/13,St Johnstone,Inverness C,4,0,H,2,0,H,18,5,11,1
07/10/13,Partick,Hibernian,0,1,A,0,0,D,16,6,6,3
19/10/13,Aberdeen,Dundee United,1,0,H,0,0,D,4,15,3,2
19/10/13,Hibernian,Celtic,1,1,D,1,0,H,5,17,4,6
19/10/13,Kilmarnock,Ross County,2,0,H,1,0,H,11,6,2,2
19/10/13,Motherwell,Hearts,2,1,H,0,0,D,21,8,10,5
19/10/13,St Mirren,St Johnstone,4,3,H,1,1,D,6,12,6,5
20/10/13,Inverness C,Partick,1,2,A,0,1,A,14,9,4,2
26/10/13,Dundee United,St Mirren,4,0,H,2,0,H,16,4,5,1
26/10/13,Hibernian,Aberdeen,0,2,A,0,0,D,4,11,0,6
26/10/13,Kilmarnock,Hearts,2,0,H,1,0,H,18,10,10,4
27/10/13,Partick,Celtic,1,2,A,0,1,A,11,12,6,6
27/10/13,St Johnstone,Motherwell,2,0,H,0,0,D,12,8,3,1
02/11/13,Celtic,Dundee United,1,1,D,0,1,A,18,4,5,3
02/11/13,Hearts,St Johnstone,0,2,A,0,1,A,15,16,2,7
02/11/13,Inverness C,Kilmarnock,2,1,H,1,0,H,11,9,4,2
03/11/13,Motherwell,Hibernian,1,0,H,1,0,H,9,12,4,3
04/11/13,Aberdeen,Partick,4,0,H,2,0,H,9,10,6,4
09/11/13,Aberdeen,Hearts,1,3,A,1,0,H,17,10,4,7
09/11/13,Hibernian,Inverness C,0,2,A,0,2,A,8,9,2,4
09/11/13,Motherwell,Dundee United,0,4,A,0,2,A,5,18,1,9
09/11/13,Partick,St Mirren,0,3,A,0,1,A,17,10,4,5
09/11/13,Ross County,Celtic,1,4,A,0,1,A,4,23,2,8
09/11/13,St Johnstone,Kilmarnock,3,1,H,2,0,H,12,8,8,3
17/11/13,St Mirren,Ross County,2,1,H,1,0,H,20,3,9,1
23/11/13,Celtic,Aberdeen,3,1,H,1,1,D,21,8,11,4
23/11/13,Dundee United,Partick,4,1,H,1,0,H,15,7,10,4
23/11/13,Hearts,Ross County,2,2,D,1,1,D,12,10,5,4
23/11/13,Inverness C,St Johnstone,1,0,H,1,0,H,9,6,3,0
23/11/13,Kilmarnock,Motherwell,0,2,A,0,0,D,14,11,6,3
23/11/13,St Mirren,Hibernian,0,0,D,0,0,D,9,4,3,2
06/12/13,Motherwell,Celtic,0,5,A,0,1,A,3,21,0,14
07/12/13,Dundee United,Hearts,4,1,H,1,1,D,18,6,8,1
07/12/13,Hibernian,Partick,1,1,D,0,0,D,16,5,6,4
07/12/13,Ross County,Kilmarnock,1,2,A,1,2,A,11,15,4,5
07/12/13,St Johnstone,Aberdeen,0,2,A,0,1,A,3,10,2,5
07/12/13,St Mirren,Inverness C,0,0,D,0,0,D,14,8,4,2
14/12/13,Aberdeen,St Mirren,2,0,H,1,0,H,12,5,5,2
14/12/13,Celtic,Hibernian,1,0,H,1,0,H,10,9,6,2
14/12/13,Hearts,Inverness C,0,2,A,0,0,D,8,13,1,4
14/12/13,Kilmarnock,Dundee United,1,4,A,0,0,D,3,11,1,8
