Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SC0,03/08/2019,15:00,Celtic,St Johnstone,7,0,H,3,0,H,K Clancy,24,2,11,0,10,10,8,0,0,3,0,0
SC0,03/08/2019,15:00,Hibernian,St Mirren,1,0,H,0,0,D,E Anderson,13,14,5,5,4,9,4,5,1,2,0,0
SC0,03/08/2019,15:00,Livingston,Motherwell,0,0,D,0,0,D,D Munro,9,10,5,5,12,17,5,10,1,3,0,0
SC0,03/08/2019,15:00,Ross County,Hamilton,3,0,H,2,0,H,A Newlands,12,9,6,5,11,11,9,6,0,3,0,0
SC0,04/08/2019,13:30,Kilmarnock,Rangers,1,2,A,0,1,A,W Collum,5,14,3,10,12,20,2,7,2,1,0,0
SC0,04/08/2019,15:00,Aberdeen,Hearts,3,2,H,1,0,H,D Robertson,10,7,5,3,18,22,4,4,4,3,0,1
SC0,10/08/2019,12:00,Motherwell,Celtic,2,5,A,1,2,A,N Walsh,11,17,3,5,14,8,5,5,5,0,0,0
SC0,10/08/2019,14:00,St Johnstone,Livingston,2,2,D,0,2,A,A Dallas,7,11,4,8,13,18,2,5,1,3,0,0
SC0,10/08/2019,15:00,Hamilton,Kilmarnock,2,0,H,1,0,H,B Madden,4,17,3,6,16,9,1,17,0,1,1,0
SC0,10/08/2019,15:00,Hearts,Ross County,0,0,D,0,0,D,A Muir,7,15,2,3,14,11,8,6,0,3,0,0
SC0,11/08/2019,15:00,Rangers,Hibernian,6,1,H,2,1,H,J Beaton,34,6,19,4,8,13,14,2,2,3,0,1
SC0,11/08/2019,15:00,St Mirren,Aberdeen,1,0,H,1,0,H,S McLean,10,13,4,4,15,14,3,9,1,2,0,0
SC0,24/08/2019,15:00,Hamilton,Motherwell,1,3,A,1,2,A,A Dallas,3,20,1,7,11,17,2,11,0,1,1,0
SC0,24/08/2019,15:00,Hibernian,St Johnstone,2,2,D,1,0,H,D Robertson,9,18,3,5,17,12,5,5,1,0,0,0
SC0,24/08/2019,15:00,Kilmarnock,Aberdeen,0,0,D,0,0,D,A Muir,7,8,1,4,10,15,2,4,3,1,0,0
SC0,24/08/2019,15:00,Ross County,Livingston,1,4,A,1,3,A,J Beaton,6,14,2,6,8,8,6,5,1,1,0,0
SC0,25/08/2019,12:15,St Mirren,Rangers,0,1,A,0,0,D,K Clancy,7,15,2,7,9,12,3,6,1,2,0,0
SC0,25/08/2019,15:00,Celtic,Hearts,3,1,H,1,0,H,W Collum,9,5,5,3,13,13,7,3,1,3,0,0
SC0,31/08/2019,15:00,Aberdeen,Ross County,3,0,H,2,0,H,N Walsh,11,7,6,2,17,17,6,2,2,1,0,0
SC0,31/08/2019,15:00,Hearts,Hamilton,2,2,D,1,0,H,G Aitken,13,14,3,5,12,14,6,8,1,2,0,0
SC0,31/08/2019,15:00,Livingston,St Mirren,2,1,H,1,0,H,C Steven,11,11,3,5,12,18,4,2,1,3,0,0
SC0,31/08/2019,15:00,Motherwell,Hibernian,3,0,H,1,0,H,S McLean,15,8,9,5,10,10,6,3,3,2,0,0
SC0,31/08/2019,15:00,St Johnstone,Kilmarnock,0,1,A,0,1,A,D Munro,11,7,3,3,9,9,5,3,0,4,0,0
SC0,01/09/2019,12:00,Rangers,Celtic,0,2,A,0,1,A,B Madden,9,13,2,6,13,10,8,5,1,1,1,0
SC0,14/09/2019,12:00,Hamilton,Celtic,0,1,A,0,1,A,D Robertson,3,12,1,2,19,10,1,4,2,0,0,0
SC0,14/09/2019,15:00,Aberdeen,St Johnstone,1,1,D,1,1,D,S McLean,7,8,2,3,11,13,6,4,0,2,0,0
SC0,14/09/2019,15:00,Hearts,Motherwell,2,3,A,0,1,A,E Anderson,8,10,3,7,18,17,1,4,3,3,0,0
SC0,14/09/2019,15:00,Kilmarnock,Hibernian,2,0,H,0,0,D,K Clancy,12,7,4,3,13,17,3,2,0,1,0,0
SC0,14/09/2019,15:00,Rangers,Livingston,3,1,H,0,0,D,W Collum,23,6,10,2,15,12,9,2,0,1,0,1
SC0,14/09/2019,15:00,Ross County,St Mirren,2,1,H,0,0,D,C Steven,11,6,5,2,13,12,5,1,2,1,0,0
SC0,21/09/2019,15:00,Livingston,Aberdeen,0,2,A,0,1,A,N Walsh,4,4,2,2,8,13,3,3,2,0,0,0
SC0,21/09/2019,15:00,Motherwell,Ross County,1,2,A,0,0,D,A Muir,13,10,6,4,12,14,6,4,1,2,1,0
SC0,21/09/2019,15:00,St Mirren,Hamilton,0,0,D,0,0,D,D Munro,15,3,2,1,12,6,8,6,1,2,0,1
SC0,22/09/2019,12:15,St Johnstone,Rangers,0,4,A,0,0,D,A Dallas,5,17,2,9,14,7,2,7,1,0,0,0
SC0,22/09/2019,13:00,Celtic,Kilmarnock,3,1,H,1,1,D,G Aitken,21,6,11,3,9,8,5,4,1,1,0,0
SC0,22/09/2019,15:00,Hibernian,Hearts,1,2,A,0,0,D,J Beaton,14,7,4,3,14,7,7,7,1,1,0,0
SC0,28/09/2019,12:30,Hibernian,Celtic,1,1,D,1,1,D,K Clancy,3,20,2,7,13,14,1,4,3,5,0,0
SC0,28/09/2019,15:00,Hamilton,Livingston,2,1,H,1,1,D,S McLean,6,7,2,2,15,14,4,7,1,1,0,0
SC0,28/09/2019,15:00,Kilmarnock,Ross County,0,0,D,0,0,D,A Newlands,11,10,6,2,10,12,2,4,0,2,0,0
SC0,28/09/2019,15:00,Rangers,Aberdeen,5,0,H,2,0,H,B Madden,27,4,11,1,9,11,7,1,0,3,0,0
SC0,28/09/2019,15:00,St Johnstone,Motherwell,0,1,A,0,1,A,G Duncan,6,5,3,1,16,17,6,3,1,3,0,1
SC0,28/09/2019,15:00,St Mirren,Hearts,0,0,D,0,0,D,A Dallas,7,11,0,5,5,12,3,8,1,1,0,0
SC0,05/10/2019,15:00,Aberdeen,Hibernian,1,1,D,0,0,D,D Robertson,9,9,2,5,12,9,9,5,1,1,2,0
SC0,05/10/2019,15:00,Hearts,Kilmarnock,0,1,A,0,1,A,A Muir,11,14,3,3,8,9,5,2,0,2,0,0
SC0,05/10/2019,15:00,Motherwell,St Mirren,2,0,H,1,0,H,J Beaton,19,14,9,5,7,11,2,9,0,2,0,0
SC0,05/10/2019,15:00,Ross County,St Johnstone,2,2,D,1,1,D,E Anderson,7,17,3,10,14,11,6,12,2,3,0,0
SC0,06/10/2019,12:00,Livingston,Celtic,2,0,H,0,0,D,W Collum,10,12,4,4,19,11,0,7,3,2,0,1
SC0,06/10/2019,15:00,Rangers,Hamilton,5,0,H,2,0,H,N Walsh,23,3,11,0,11,7,8,0,0,1,0,0
SC0,19/10/2019,15:00,Celtic,Ross County,6,0,H,1,0,H,D Robertson,28,2,14,1,11,9,12,0,0,1,0,0
SC0,19/10/2019,15:00,Hamilton,Hibernian,1,1,D,0,1,A,J Beaton,6,10,2,3,9,13,6,8,1,1,0,0
SC0,19/10/2019,15:00,Kilmarnock,Livingston,2,1,H,1,0,H,S McLean,11,10,4,3,12,17,2,2,2,2,0,0
