Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SC0,01/08/2020,12:30,Aberdeen,Rangers,0,1,A,0,1,A,B Madden,4,15,0,4,18,14,2,6,1,0,1,0
SC0,01/08/2020,15:00,Dundee United,St Johnstone,1,1,D,1,0,H,K Clancy,16,9,4,4,12,8,3,3,1,2,0,1
SC0,01/08/2020,15:00,Hibernian,Kilmarnock,2,1,H,2,1,H,J Beaton,11,12,3,2,13,12,5,4,1,1,0,0
SC0,01/08/2020,15:00,St Mirren,Livingston,1,0,H,1,0,H,D Robertson,6,12,2,3,16,16,2,5,3,2,0,0
SC0,02/08/2020,16:30,Celtic,Hamilton,5,1,H,2,1,H,W Collum,25,7,15,2,9,8,11,8,1,3,0,0
SC0,03/08/2020,19:45,Ross County,Motherwell,1,0,H,1,0,H,N Walsh,9,15,3,1,24,12,5,8,3,1,0,1
SC0,08/08/2020,15:00,Hamilton,Ross County,0,1,A,0,0,D,B Madden,9,10,4,6,14,15,9,1,0,1,0,0
SC0,08/08/2020,15:00,Livingston,Hibernian,1,4,A,0,3,A,E Anderson,12,18,3,8,17,11,5,4,1,1,0,0
SC0,08/08/2020,15:00,Motherwell,Dundee United,0,1,A,0,0,D,S McLean,18,11,4,3,11,12,7,8,2,0,0,0
SC0,09/08/2020,15:00,Rangers,St Mirren,3,0,H,1,0,H,A Dallas,28,4,12,2,9,8,14,1,0,2,0,0
SC0,09/08/2020,16:30,Kilmarnock,Celtic,1,1,D,1,1,D,A Muir,6,17,1,2,13,14,1,2,2,1,0,0
SC0,11/08/2020,18:00,Dundee United,Hibernian,0,1,A,0,0,D,D Robertson,10,8,1,3,16,13,7,3,3,2,0,0
SC0,12/08/2020,19:45,Motherwell,Livingston,2,2,D,2,1,H,C Steven,9,15,3,5,13,18,4,6,2,1,0,0
SC0,12/08/2020,19:45,Rangers,St Johnstone,3,0,H,2,0,H,E Anderson,15,4,5,2,10,10,6,2,0,2,0,0
SC0,12/08/2020,19:45,Ross County,Kilmarnock,2,2,D,1,0,H,G Duncan,14,12,5,5,18,11,3,3,3,2,0,0
SC0,15/08/2020,15:00,Hamilton,St Mirren,0,1,A,0,1,A,S Kirkland,12,19,5,7,6,12,2,9,0,3,0,0
SC0,15/08/2020,15:00,Kilmarnock,St Johnstone,1,2,A,0,0,D,A Dallas,11,17,4,5,10,9,11,1,1,2,1,0
SC0,15/08/2020,15:00,Ross County,Dundee United,1,2,A,1,1,D,C Napier,12,13,2,4,13,13,5,7,2,1,0,0
SC0,15/08/2020,17:30,Hibernian,Motherwell,0,0,D,0,0,D,G Aitken,12,17,2,2,10,17,6,10,0,1,0,0
SC0,16/08/2020,16:30,Livingston,Rangers,0,0,D,0,0,D,N Walsh,2,23,1,3,10,7,0,9,0,1,0,0
SC0,20/08/2020,19:30,St Johnstone,Aberdeen,0,1,A,0,0,D,W Collum,11,6,1,3,17,13,5,1,1,3,0,0
SC0,22/08/2020,15:00,Motherwell,Hamilton,0,1,A,0,0,D,A Muir,17,8,4,2,17,12,13,5,2,1,0,0
SC0,22/08/2020,15:00,Rangers,Kilmarnock,2,0,H,0,0,D,K Clancy,26,2,10,0,18,9,9,2,1,1,0,0
SC0,22/08/2020,15:00,St Mirren,Ross County,1,1,D,1,0,H,M Roncone,12,18,6,2,11,12,3,4,0,2,1,0
SC0,22/08/2020,17:30,Dundee United,Celtic,0,1,A,0,0,D,A Dallas,7,23,1,9,18,10,6,10,2,2,0,0
SC0,23/08/2020,15:00,Aberdeen,Livingston,2,1,H,0,0,D,S McLean,7,10,5,2,11,16,1,3,0,2,0,0
SC0,23/08/2020,16:30,St Johnstone,Hibernian,0,1,A,0,0,D,J Beaton,10,10,0,3,16,14,5,4,2,2,1,0
SC0,29/08/2020,15:00,Kilmarnock,Dundee United,4,0,H,2,0,H,D Munro,15,18,9,1,13,12,2,10,3,1,0,0
SC0,29/08/2020,15:00,Livingston,Ross County,1,0,H,0,0,D,J Beaton,9,4,3,1,15,16,14,5,1,3,0,1
SC0,29/08/2020,15:00,St Johnstone,St Mirren,1,0,H,0,0,D,K Clancy,21,5,6,2,7,12,11,2,0,1,0,0
SC0,29/08/2020,17:30,Hamilton,Rangers,0,2,A,0,2,A,W Collum,5,24,2,6,11,12,6,3,1,2,1,0
SC0,30/08/2020,15:00,Celtic,Motherwell,3,0,H,1,0,H,D Robertson,17,5,6,1,11,10,7,3,1,2,0,0
SC0,30/08/2020,16:30,Hibernian,Aberdeen,0,1,A,0,1,A,N Walsh,9,14,3,7,11,18,6,4,0,1,0,0
SC0,12/09/2020,15:00,Aberdeen,Kilmarnock,1,0,H,1,0,H,B Madden,13,7,3,1,8,14,10,10,0,1,0,0
SC0,12/09/2020,15:00,Livingston,Hamilton,1,2,A,1,0,H,D Robertson,18,12,3,4,20,13,8,2,2,2,0,0
SC0,12/09/2020,15:00,Motherwell,St Johnstone,1,0,H,1,0,H,E Anderson,6,12,2,3,16,11,2,3,4,0,0,0
SC0,12/09/2020,15:00,Rangers,Dundee United,4,0,H,2,0,H,K Clancy,25,6,9,1,4,16,6,2,1,3,0,0
SC0,12/09/2020,15:00,Ross County,Celtic,0,5,A,0,2,A,A Dallas,9,18,5,10,13,11,4,7,1,1,0,0
SC0,12/09/2020,15:00,St Mirren,Hibernian,0,3,A,0,2,A,W Collum,15,15,3,5,14,14,8,7,2,2,0,0
SC0,16/09/2020,19:45,St Mirren,Celtic,1,2,A,1,2,A,J Beaton,8,17,2,9,13,11,4,3,3,1,0,0
SC0,19/09/2020,15:00,Celtic,Livingston,3,2,H,2,1,H,G Duncan,17,7,6,3,8,11,3,1,1,1,0,0
SC0,19/09/2020,15:00,Dundee United,St Mirren,2,1,H,1,0,H,C Steven,17,16,8,4,11,13,8,4,3,1,0,1
SC0,19/09/2020,15:00,Kilmarnock,Hamilton,2,1,H,1,1,D,N Walsh,17,15,8,4,10,12,6,8,1,3,1,0
SC0,19/09/2020,15:00,St Johnstone,Ross County,0,1,A,0,1,A,D Munro,11,5,1,2,15,18,9,3,2,3,0,0
SC0,20/09/2020,12:00,Hibernian,Rangers,2,2,D,1,1,D,D Robertson,7,19,5,7,17,14,6,5,4,1,0,0
SC0,20/09/2020,15:00,Aberdeen,Motherwell,0,3,A,0,3,A,J Beaton,9,9,0,3,13,15,4,5,3,0,0,0
SC0,26/09/2020,15:00,Hamilton,Dundee United,1,1,D,0,1,A,A Muir,12,12,1,2,18,18,7,5,4,1,0,0
SC0,26/09/2020,15:00,Livingston,St Johnstone,2,0,H,2,0,H,C Napier,8,13,2,2,18,11,8,7,2,0,0,0
SC0,26/09/2020,15:00,St Mirren,Kilmarnock,0,1,A,0,1,A,D Munro,6,5,0,3,16,12,5,6,5,0,0,0
SC0,27/09/2020,12:00,Motherwell,Rangers,1,5,A,0,3,A,B Madden,7,16,1,9,14,8,7,4,1,0,0,0
SC0,27/09/2020,15:00,Celtic,Hibernian,3,0,H,2,0,H,S McLean,20,9,9,0,9,11,6,5,0,2,0,0
SC0,27/09/2020,15:00,Ross County,Aberdeen,0,3,A,0,1,A,W Collum,8,18,0,8,16,14,2,6,1,0,1,0
SC0,02/10/2020,19:45,Aberdeen,St Mirren,2,1,H,0,0,D,G Duncan,15,11,6,1,14,11,5,6,1,1,0,0
SC0,02/10/2020,19:45,Dundee United,Livingston,1,2,A,1,0,H,J Beaton,1,14,1,6,15,11,3,11,0,0,0,0
SC0,02/10/2020,19:45,Hibernian,Hamilton,3,2,H,2,0,H,B Madden,18,8,9,4,10,12,7,2,1,2,0,0
SC0,04/10/2020,12:00,St Johnstone,Celtic,0,2,A,0,0,D,N Walsh,7,19,0,3,13,14,1,11,3,2,0,0
SC0,04/10/2020,15:00,Rangers,Ross County,2,0,H,1,0,H,G Aitken,15,4,4,0,9,13,14,2,0,1,0,0
SC0,17/10/2020,12:30,Celtic,Rangers,0,2,A,0,1,A,J Beaton,5,9,0,5,13,18,1,5,2,2,0,0
SC0,17/10/2020,15:00,Dundee United,Aberdeen,0,0,D,0,0,D,A Muir,6,18,3,7,9,18,2,11,1,2,0,0
SC0,17/10/2020,15:00,Hamilton,St Johnstone,3,5,A,2,3,A,K Clancy,10,22,4,8,18,11,3,7,1,0,0,0
SC0,17/10/2020,15:00,Livingston,Kilmarnock,1,3,A,1,2,A,G Aitken,14,11,2,5,14,14,6,3,4,0,0,0
SC0,17/10/2020,15:00,Ross County,Hibernian,0,0,D,0,0,D,N Walsh,16,28,2,6,11,10,3,5,1,1,1,0
SC0,20/10/2020,19:00,Aberdeen,Hamilton,4,2,H,4,1,H,N Walsh,18,10,6,6,17,11,10,2,1,1,0,0
SC0,24/10/2020,15:00,Kilmarnock,Hibernian,0,1,A,0,1,A,C Steven,8,11,0,2,17,20,1,6,2,1,0,0
SC0,24/10/2020,15:00,Motherwell,Ross County,4,0,H,1,0,H,C Napier,14,11,5,5,12,14,4,6,2,1,0,0
SC0,24/10/2020,15:00,St Johnstone,Dundee United,0,0,D,0,0,D,A Dallas,14,3,3,0,12,9,5,0,1,1,0,0
SC0,25/10/2020,12:00,Aberdeen,Celtic,3,3,D,1,0,H,W Collum,13,14,5,7,12,18,3,5,2,1,0,0
SC0,25/10/2020,15:00,Rangers,Livingston,2,0,H,2,0,H,N Walsh,11,4,7,1,9,14,5,3,1,1,0,0
SC0,31/10/2020,15:00,Dundee United,Ross County,2,1,H,1,0,H,S Kirkland,8,13,3,3,11,16,2,8,1,4,0,0
SC0,31/10/2020,15:00,Livingston,Motherwell,0,2,A,0,2,A,J Beaton,13,8,3,4,14,12,5,5,2,2,0,0
SC0,01/11/2020,12:00,Kilmarnock,Rangers,0,1,A,0,1,A,A Dallas,8,20,4,4,14,14,4,9,3,3,0,0
SC0,06/11/2020,19:45,Aberdeen,Hibernian,2,0,H,2,0,H,E Anderson,7,6,2,2,23,11,3,4,0,3,0,0
SC0,06/11/2020,19:45,Ross County,Livingston,1,1,D,1,0,H,K Clancy,7,7,2,2,10,3,3,3,1,1,0,0
SC0,06/11/2020,19:45,St Johnstone,Kilmarnock,1,0,H,0,0,D,G Duncan,11,8,2,0,18,12,4,5,2,1,0,0
SC0,06/11/2020,19:45,St Mirren,Dundee United,0,0,D,0,0,D,D Munro,16,4,0,1,13,15,5,4,1,1,0,0
SC0,08/11/2020,12:00,Motherwell,Celtic,1,4,A,0,2,A,A Dallas,14,21,3,6,8,11,6,5,3,0,0,0
SC0,08/11/2020,15:00,Rangers,Hamilton,8,0,H,4,0,H,S McLean,24,0,14,0,9,10,7,0,0,2,0,0
SC0,21/11/2020,15:00,Dundee United,Hamilton,2,1,H,0,0,D,C Napier,7,8,3,2,14,15,2,1,3,3,0,0
SC0,21/11/2020,15:00,Hibernian,Celtic,2,2,D,0,0,D,B Madden,12,21,3,12,14,10,5,8,4,0,0,0
SC0,21/11/2020,15:00,Kilmarnock,Ross County,3,1,H,1,1,D,C Steven,12,17,6,2,10,17,4,10,1,0,1,0
SC0,21/11/2020,15:00,Livingston,St Mirren,0,1,A,0,0,D,W Collum,5,7,2,3,13,8,1,5,1,1,0,0
SC0,21/11/2020,15:00,St Johnstone,Motherwell,1,1,D,1,1,D,S Kirkland,16,8,5,2,11,11,4,1,3,1,0,0
SC0,22/11/2020,12:00,Rangers,Aberdeen,4,0,H,2,0,H,N Walsh,18,7,5,3,9,9,9,6,0,1,0,0
SC0,24/11/2020,19:00,Hibernian,St Johnstone,2,2,D,1,1,D,K Clancy,11,12,4,3,10,8,4,4,1,0,0,0
SC0,25/11/2020,19:00,Hamilton,Aberdeen,1,1,D,0,1,A,G Duncan,4,10,2,3,13,14,1,7,2,0,0,0
SC0,05/12/2020,15:00,Hamilton,Kilmarnock,1,0,H,0,0,D,W Collum,16,17,6,2,22,8,3,2,3,2,0,1
SC0,05/12/2020,15:00,Livingston,Dundee United,2,0,H,0,0,D,D Robertson,11,7,4,2,11,12,6,2,5,2,0,0
SC0,05/12/2020,15:00,Motherwell,Hibernian,0,3,A,0,0,D,A Dallas,12,12,1,5,13,10,7,6,1,1,0,0
SC0,05/12/2020,15:00,St Mirren,Aberdeen,1,1,D,1,1,D,B Madden,25,9,12,2,14,15,7,1,2,1,0,1
SC0,06/12/2020,12:00,Ross County,Rangers,0,4,A,0,1,A,J Beaton,4,16,1,5,12,7,0,5,3,0,0,0
SC0,06/12/2020,15:00,Celtic,St Johnstone,1,1,D,0,0,D,D Munro,17,6,5,1,14,8,8,2,1,5,0,0
SC0,12/12/2020,15:00,Aberdeen,Ross County,2,0,H,1,0,H,N Walsh,5,5,3,1,11,13,4,3,1,1,0,0
SC0,12/12/2020,15:00,Hamilton,Hibernian,0,4,A,0,2,A,K Clancy,3,16,1,8,14,10,1,6,3,0,0,0
